UMAP1,UMAP2,GT,KMeans,DEC,scDCC
5.257458,10.258066,Acinar,Acinar,Acinar,Acinar
4.5253887,10.136295,Acinar,Acinar,Acinar,Acinar
3.3390388,3.590913,Delta,Delta,Beta,Delta
3.754414,3.4822373,Delta,Delta,Beta,Delta
-9.934435,1.3926561,Beta,Beta,Beta,Beta
5.014354,10.339538,Acinar,Acinar,Acinar,Acinar
-9.984099,1.8299248,Beta,Beta,Beta,Beta
-10.146757,0.9889783,Beta,Beta,Beta,Beta
8.77366,-5.088784,Alpha,Alpha,Alpha,Alpha
3.3997204,3.8821044,Delta,Delta,Beta,Delta
8.814353,-4.884372,Alpha,Alpha,Alpha,Alpha
-9.236641,1.0382841,Beta,Beta,Beta,Beta
2.9504998,11.268408,Acinar,Acinar,Acinar,Acinar
4.898592,9.349612,Acinar,Acinar,Acinar,Acinar
-9.602399,0.8071041,Beta,Beta,Beta,Beta
2.5416474,3.5263422,Delta,Delta,Beta,Delta
3.4223588,3.3613791,Delta,Delta,Beta,Delta
3.3620458,3.366554,Delta,Delta,Beta,Delta
3.0736172,3.1160927,Delta,Delta,Beta,Delta
-9.278782,2.0061507,Beta,Beta,Beta,Beta
5.228108,10.467554,Acinar,Acinar,Acinar,Acinar
-10.07481,1.6286168,Beta,Beta,Beta,Beta
-9.869064,1.0014145,Beta,Beta,Beta,Beta
-6.6663456,1.8708422,Beta,Beta,Beta,Beta
2.9518485,3.4070392,Delta,Delta,Beta,Delta
-9.271014,1.4815933,Beta,Beta,Beta,Beta
3.3106048,3.454539,Delta,Delta,Beta,Delta
14.756846,3.8219604,Stellate,Beta,Stellate,Stellate
15.261047,4.173428,Stellate,Beta,Stellate,Stellate
14.790294,3.90201,Stellate,Beta,Stellate,Stellate
5.4656863,10.112006,Acinar,Acinar,Acinar,Acinar
14.785291,3.3750596,Stellate,Beta,Stellate,Stellate
2.8693562,3.792091,Delta,Delta,Beta,Delta
-9.761136,0.97627753,Beta,Beta,Beta,Beta
4.4294252,2.7387276,Delta,Delta,Beta,Delta
-10.239807,1.6945769,Beta,Beta,Beta,Beta
5.4720826,10.188498,Acinar,Acinar,Acinar,Acinar
-9.666088,1.7366723,Beta,Beta,Beta,Beta
-9.76423,1.8186728,Beta,Beta,Beta,Beta
14.779077,3.694209,Stellate,Beta,Stellate,Stellate
-9.785526,2.0516522,Beta,Beta,Beta,Beta
-9.808558,2.1489189,Beta,Beta,Beta,Beta
-9.443442,1.6147066,Beta,Beta,Beta,Beta
-7.2248545,3.4983504,Beta,Beta,Beta,Beta
-2.010389,17.332674,Ductal,Ductal,Ductal,Ductal
8.828255,-5.141402,Alpha,Alpha,Alpha,Alpha
-7.3967376,3.596952,Beta,Beta,Beta,Beta
-2.042694,18.308683,Ductal,Ductal,Ductal,Ductal
-0.37219578,16.515364,Ductal,Beta,Beta,Ductal
5.385219,9.67479,Acinar,Acinar,Acinar,Acinar
9.328007,-4.3301387,Alpha,Alpha,Alpha,Alpha
-9.336371,2.0583675,Beta,Beta,Beta,Beta
3.9183936,3.15884,Delta,Delta,Beta,Delta
9.1177225,-3.8891256,Alpha,Alpha,Alpha,Alpha
-7.4225917,3.1600566,Beta,Beta,Beta,Beta
-9.050163,2.6759071,Beta,Beta,Beta,Beta
-8.332249,2.0339828,Beta,Beta,Beta,Beta
3.1569424,3.277317,Delta,Delta,Beta,Delta
-8.64665,1.9390447,Beta,Beta,Beta,Beta
-9.461878,1.2931325,Beta,Beta,Beta,Beta
2.9929569,3.676666,Delta,Delta,Beta,Delta
-10.031014,1.2801702,Beta,Beta,Beta,Beta
-9.25192,1.1798795,Beta,Beta,Beta,Beta
-10.260327,1.6654532,Beta,Beta,Beta,Beta
-9.701083,1.4981343,Beta,Beta,Beta,Beta
-9.129053,1.055164,Beta,Beta,Beta,Beta
-9.768596,1.0636883,Beta,Beta,Beta,Beta
5.2906084,9.750404,Acinar,Acinar,Acinar,Acinar
14.871165,3.909407,Stellate,Beta,Stellate,Stellate
2.9900603,3.8599725,Delta,Delta,Beta,Delta
3.82048,3.4867299,Delta,Delta,Beta,Delta
-9.350402,-0.2948753,Beta,Beta,Beta,Beta
-7.548585,3.201626,Beta,Beta,Beta,Beta
-9.454701,1.089971,Beta,Beta,Beta,Beta
-9.499189,-1.2367283,Beta,Beta,Beta,Beta
-9.943475,1.471447,Beta,Beta,Beta,Beta
-9.556334,1.7103163,Beta,Beta,Beta,Beta
-9.294998,0.5574576,Beta,Beta,Beta,Beta
-8.676372,0.6527632,Beta,Beta,Beta,Beta
-7.143074,3.5467677,Beta,Beta,Beta,Beta
-9.55157,2.3793519,Beta,Beta,Beta,Beta
3.0910323,3.0676575,Delta,Delta,Beta,Delta
2.824055,3.2994113,Delta,Delta,Beta,Delta
-9.098927,1.9173282,Beta,Beta,Beta,Beta
4.0619283,3.124554,Delta,Delta,Beta,Delta
8.948871,-4.076618,Alpha,Alpha,Alpha,Alpha
8.487403,-5.857853,Alpha,Alpha,Alpha,Alpha
3.377797,3.484408,Delta,Delta,Beta,Delta
-9.763148,1.2250303,Beta,Beta,Beta,Beta
-9.25366,1.5485797,Beta,Beta,Beta,Beta
-7.341019,2.7305098,Beta,Beta,Beta,Beta
-8.532427,-0.6854796,Beta,Beta,Beta,Beta
5.331147,9.677376,Acinar,Acinar,Acinar,Acinar
2.7075675,3.38064,Delta,Delta,Beta,Delta
-9.135363,0.961092,Beta,Beta,Beta,Beta
-9.2688465,2.3589895,Beta,Beta,Beta,Beta
3.3787231,3.7467515,Delta,Delta,Beta,Delta
-9.110777,2.10253,Beta,Beta,Beta,Beta
-9.700596,1.7912232,Beta,Beta,Beta,Beta
-8.945832,1.3101349,Beta,Beta,Beta,Beta
2.9550796,3.654688,Delta,Delta,Beta,Delta
-9.436681,2.2687452,Beta,Beta,Beta,Beta
3.7806716,3.657102,Delta,Delta,Beta,Delta
-9.441015,1.6446841,Beta,Beta,Beta,Beta
-9.848523,1.9198488,Beta,Beta,Beta,Beta
-9.363352,1.4680214,Beta,Beta,Beta,Beta
3.5699863,2.8259203,Delta,Delta,Beta,Delta
-9.792986,1.4518524,Beta,Beta,Beta,Beta
-10.398315,1.4479824,Beta,Beta,Beta,Beta
