UMAP1,UMAP2,GT,KMeans,DEC,scDCC
12.836624,-3.7214155,1,1,1,1
6.705265,-1.1976243,5,5,5,5
1.2765291,2.6236515,16,7,7,16
21.130793,5.660575,8,8,8,8
6.4079905,8.866846,4,4,4,4
9.657747,-3.7817297,2,2,2,2
8.323728,11.128982,3,3,3,3
11.024543,7.2939095,2,2,2,2
11.414239,8.459478,4,6,6,6
10.194795,-3.567337,2,2,2,2
15.044582,-5.952812,1,1,1,1
8.815737,12.230817,3,3,3,3
8.492898,-2.622538,2,2,2,2
7.501538,12.429186,3,3,3,3
9.965652,-2.5720534,2,2,2,2
8.98983,11.973291,3,3,3,3
10.548325,10.248209,6,6,3,6
9.732538,12.60833,3,3,3,3
14.788338,-5.4249187,1,1,1,1
13.282393,-3.2356064,1,1,1,1
10.502581,8.663407,4,6,6,4
13.421351,-5.9298053,1,1,1,1
6.741027,10.348809,4,4,4,4
14.899319,-6.4841127,1,1,1,1
10.1220455,11.12303,3,3,3,3
-4.672575,8.423749,13,15,12,13
-3.9911976,7.973413,13,13,13,13
10.227778,-1.7154349,2,2,2,2
14.465998,-4.155935,1,1,1,1
6.977043,9.477815,6,4,4,6
10.406988,-3.7041173,2,2,2,2
7.2352276,8.791887,4,4,4,4
10.068699,-2.7736585,2,2,1,2
8.500727,10.539684,6,3,4,3
9.373673,12.211561,3,3,3,3
13.264577,-4.599324,1,1,1,1
11.718408,-5.887917,1,1,1,1
12.1619425,-3.5379784,1,1,1,2
6.518438,-1.304006,5,5,5,5
20.742678,5.5334787,14,14,14,14
6.340413,9.035252,4,4,4,4
11.329104,-3.5190442,2,1,2,2
8.984453,12.672367,3,3,3,3
5.795552,10.860242,4,4,4,4
7.7496133,-2.558293,5,5,5,5
7.076161,-1.460107,5,5,5,5
12.164423,-3.5556784,1,1,1,1
21.370369,5.9063454,8,8,8,8
20.665058,4.255971,14,14,14,14
13.397251,-1.8441447,1,1,1,1
-4.3794074,8.66566,12,13,12,12
11.258286,8.168365,4,6,6,6
6.241841,11.716658,9,4,4,9
15.465608,-4.6085205,1,1,1,1
12.633966,-1.7427456,1,1,1,1
9.636038,7.876904,6,6,6,6
15.1580515,-3.3837905,1,1,1,1
8.636136,9.877132,6,3,3,3
-4.5173044,8.329939,12,13,12,12
14.624025,-3.11031,1,1,1,1
6.69037,11.33622,9,4,4,4
6.8767204,8.93467,4,4,4,4
9.220177,9.037472,6,4,4,6
1.4701158,2.3685627,16,7,7,2
20.654238,3.9777095,14,14,14,14
6.2350073,0.11775358,5,5,5,5
15.343009,-4.1541324,1,1,1,1
10.914729,-2.3434556,2,1,2,2
5.773805,-0.2478053,5,5,5,5
6.8151927,11.445047,4,4,4,4
11.45186,-4.294579,2,1,1,2
-3.3690348,8.494178,13,13,13,13
5.1857386,9.821616,4,4,4,4
8.896052,-2.7823257,2,2,2,2
8.565051,-2.5463624,2,2,2,2
7.740061,10.490373,4,4,4,4
9.3558,8.752642,6,6,6,6
5.2090435,10.374285,9,4,4,4
11.774499,-2.654755,1,1,1,1
10.489654,9.182072,6,6,6,6
15.229787,-3.1320746,1,3,2,5
9.125473,-2.5233576,2,2,2,2
10.61652,9.184912,6,6,6,6
5.2760844,10.082476,4,4,4,4
10.398508,8.599747,6,6,6,6
5.396313,10.017513,9,4,4,9
12.09301,-4.74434,1,1,1,1
8.117209,11.583342,3,3,3,6
8.69875,-1.7160718,5,2,5,5
14.034662,-4.799251,1,1,1,1
9.214453,-1.6711178,5,2,2,2
15.183655,-3.8179188,1,1,1,1
6.5193543,-0.14458516,5,5,5,5
6.2992473,9.738204,4,4,4,4
13.200593,-2.4922767,1,1,1,1
13.2703495,-1.8045053,1,1,1,1
13.533004,-2.6311245,1,1,1,1
8.607108,12.079634,3,3,3,3
10.567726,7.607449,4,6,6,4
14.27341,-4.0098495,1,1,1,1
8.399313,11.207491,3,3,3,3
6.876152,9.972993,4,4,4,4
8.1566305,13.093375,3,3,3,3
11.131256,-2.2432456,2,1,1,2
7.290979,-0.6240844,5,5,5,5
14.797853,-4.7449083,1,1,1,1
-1.4240724,8.587969,11,11,11,11
10.447036,8.475954,6,6,6,6
9.8839855,10.413674,3,3,3,3
-3.5510685,8.256169,13,13,13,13
0.5279138,2.7145872,7,7,7,7
10.629829,-4.3196664,2,2,2,2
6.942205,12.02704,3,4,4,3
11.503654,-4.2488265,2,2,2,2
9.344244,-3.6368554,2,2,2,2
12.418514,-4.346501,1,1,1,1
9.050361,-1.7367933,2,2,2,2
9.583875,9.2285385,6,6,6,6
14.00079,-4.8226852,1,1,1,1
6.2247763,10.419503,9,4,4,4
12.071612,-1.4145086,1,1,1,1
9.969448,8.179146,6,6,6,6
6.349501,10.443154,4,4,4,4
13.722359,-3.7339656,1,1,1,1
11.554567,-1.2917279,2,1,1,2
5.572668,9.156254,9,4,4,9
11.617582,8.285511,4,1,2,4
7.413165,11.6068535,4,4,4,4
8.994218,8.5781355,6,4,6,4
10.896905,8.828838,4,6,6,4
8.415346,13.333474,3,3,3,3
13.868492,-4.818112,1,1,1,1
15.295771,-5.498412,1,1,1,1
10.335725,8.038193,6,6,6,6
5.7569766,-1.6436834,5,5,5,5
9.780982,8.231264,6,6,6,6
10.262673,9.060531,6,6,6,6
9.313921,11.254041,3,3,3,3
14.575947,-3.557743,1,1,1,1
6.6132894,9.481241,4,4,4,4
15.581248,-4.602766,1,1,1,1
13.230369,-6.168372,1,1,1,1
6.32492,0.19063991,5,5,5,5
7.269992,0.028288921,5,5,5,5
9.679883,8.864587,6,6,6,6
7.045221,0.21416639,5,5,5,5
8.303673,-1.1843897,5,5,5,5
10.1015625,8.411599,6,6,6,6
-4.320132,8.28312,12,13,12,12
-1.6966368,8.362665,11,11,11,11
9.557352,-2.1333065,2,2,2,2
13.946804,-3.2571487,1,1,1,1
10.652729,-2.032018,2,2,2,2
20.605484,4.1778865,14,14,14,14
14.1540365,-2.3351004,1,1,1,1
1.4390414,2.0798624,16,7,7,16
9.247595,10.69763,3,3,3,3
-4.6120286,7.9828477,12,13,12,12
7.683707,-0.8610292,5,5,5,5
20.294975,4.6279216,14,14,14,14
9.1426,12.316185,3,3,3,3
15.332947,-5.002324,1,1,1,1
14.302125,-3.0341766,1,1,1,1
21.06299,5.4482408,8,14,8,8
6.334567,-0.3451795,5,5,5,5
13.284636,-5.9760175,1,1,1,1
7.286597,-1.1040404,5,5,5,5
12.677593,-2.3302724,1,1,1,1
22.179747,4.980994,8,8,8,8
13.159016,-3.662155,1,1,1,1
6.2982316,-1.2252834,5,5,5,5
14.336068,-3.1667075,1,1,1,1
14.019663,-3.0229814,1,1,1,1
8.876576,8.97632,6,4,4,6
-1.6996862,8.996072,11,11,11,11
13.345895,-2.340658,1,1,1,1
9.476002,13.225567,3,3,3,3
-4.0837564,8.783678,13,13,12,13
4.9954762,9.796957,9,4,4,9
9.847672,8.839116,6,6,6,6
5.9155135,9.215625,4,4,4,4
14.996249,-4.058096,1,1,1,1
10.166718,-2.2639375,2,2,2,2
14.52866,-6.2893896,1,1,1,1
14.885506,-5.755417,1,1,1,1
10.877377,-1.8749584,2,1,1,2
14.500616,-4.17964,1,1,1,1
20.891317,5.3632154,8,14,8,8
11.149508,-3.4455473,2,1,2,2
15.077939,-5.0096226,1,1,1,1
10.047924,-2.972203,2,2,2,2
10.837738,-3.2604203,2,1,1,2
13.26885,-3.906352,1,1,1,1
9.691742,8.97627,6,6,3,6
6.516912,10.612499,4,4,4,4
15.60308,-5.2145405,1,1,1,1
6.0397606,-1.8742144,5,5,5,5
5.6992345,-1.3432171,5,5,5,5
10.887169,8.166507,6,6,6,6
13.995707,-2.455376,1,1,1,1
14.47835,-4.5105753,1,1,1,1
6.900948,-0.23521788,5,5,5,5
9.101493,-1.3130888,2,2,2,2
-4.6671634,8.104034,12,13,12,12
10.18131,8.982809,6,6,6,6
9.064026,-2.267596,2,2,2,2
9.224906,-3.0256326,2,2,2,2
7.06481,-0.34752303,5,5,5,5
5.0670156,10.699122,1,4,6,5
0.5827071,2.4711149,7,7,7,7
10.44556,8.196612,6,6,6,6
13.333233,-3.9982915,1,1,1,1
8.3721485,13.279497,3,3,3,3
8.322537,12.36183,3,3,3,3
7.4695387,12.857322,3,3,3,9
10.019664,11.423029,3,3,3,3
7.4307594,-0.46434364,5,5,5,5
15.381918,-4.670979,1,1,1,1
14.807961,-5.756014,1,1,1,1
21.954159,5.1164417,8,8,8,8
14.543277,-5.1509986,1,1,1,1
12.381232,-1.7888291,1,1,1,1
11.011958,-3.8666844,2,2,2,2
10.721428,-1.9876809,2,2,2,2
8.929215,-2.3565342,2,2,2,2
15.013484,-5.692816,1,1,1,1
13.0606575,-1.6584196,1,1,1,1
7.887479,12.468326,3,3,3,3
9.427657,8.759175,6,6,6,6
-2.0210388,8.276626,11,11,11,11
14.579173,-6.0019584,1,1,1,1
8.844185,-3.416361,2,2,2,2
14.593636,-4.8291936,1,1,1,1
14.886765,-4.8209906,1,1,1,1
14.358187,-4.5832095,1,1,1,1
11.15281,9.243768,3,6,6,3
6.134942,9.481443,4,4,4,4
15.469493,-5.7161713,1,1,1,1
10.120024,12.539522,3,3,3,3
8.494527,12.8192005,3,3,3,3
10.736844,9.451267,6,6,6,6
5.393864,10.491929,4,4,4,4
14.434134,-5.903429,1,1,1,1
10.469861,8.922554,4,6,6,8
14.272384,-3.0913103,1,1,1,1
10.715362,8.4584465,4,6,6,8
13.510554,-2.2342007,1,1,1,1
7.1763906,10.176398,4,4,4,4
11.351442,-1.4622656,2,1,1,1
11.009315,9.101069,4,6,6,6
8.003621,13.216927,3,3,3,3
13.465431,-5.6959143,1,1,1,1
6.589135,10.452639,4,4,4,4
9.283946,13.385653,3,3,3,3
13.385972,-4.3114724,1,1,1,1
13.930758,-5.6988325,1,1,1,1
11.020035,-2.26871,2,1,2,2
9.193056,11.4474125,3,3,3,3
6.426141,10.304379,4,4,4,3
7.0309134,9.8311825,4,4,4,4
6.4265666,9.552131,4,4,4,4
5.9010105,-0.66893685,5,5,5,5
7.285622,-1.601237,5,5,5,5
8.8867,10.569248,6,4,4,3
14.076772,-6.4271936,1,1,1,1
11.955947,-4.264005,1,1,1,1
9.013736,8.54374,6,4,6,6
21.93094,5.3024197,8,8,8,8
11.393506,-4.343632,1,2,1,2
12.958242,-2.7631304,1,1,1,1
9.081275,9.1201105,6,4,4,6
7.6517196,-1.8829824,5,5,5,5
6.4005866,12.004784,4,4,4,4
8.360762,13.102988,3,3,3,3
8.934195,12.521472,3,3,3,3
10.264906,-1.5297276,2,2,2,2
14.51586,-6.4024262,1,1,1,1
6.975807,-0.63478446,5,5,5,5
6.4651737,9.28246,4,4,4,4
7.412603,9.348347,4,4,4,4
7.100127,-0.45934176,5,5,5,5
15.65015,-4.657194,1,1,1,1
5.895857,9.590386,4,4,4,9
8.528527,9.277819,6,4,4,6
12.659615,-5.529336,1,1,1,2
11.230667,-2.9253805,2,1,1,2
10.480494,-1.4845515,2,2,2,2
20.659779,4.1202703,14,14,14,14
13.382181,-5.0929046,1,1,1,1
-3.5841808,8.1673975,13,13,13,13
5.566902,10.181618,9,4,4,4
13.52865,-2.5608613,1,1,1,1
13.252591,-5.131733,1,1,1,1
6.970713,-0.23058859,5,5,5,5
14.66765,-6.0172334,1,1,1,1
14.516612,-5.976761,1,1,1,1
20.54435,4.3055277,14,14,14,14
8.609857,11.443238,3,3,3,3
-4.6606226,8.407254,12,13,12,12
15.126547,-3.6797013,1,1,1,2
6.202143,-1.8238181,5,5,5,5
15.000452,-4.2778654,1,1,1,1
14.225762,-4.859082,1,1,1,1
10.073398,8.547756,6,6,6,6
13.706377,-2.6870441,1,1,1,2
7.1484632,-1.4107898,5,5,5,5
15.510716,-5.3819885,1,1,1,1
7.118059,10.436903,4,4,4,4
7.782851,8.897001,6,4,4,6
7.5945387,12.64635,3,3,3,3
-1.7772636,8.975584,11,11,11,11
12.776382,-2.8954663,1,1,1,1
9.421554,-2.827316,2,2,2,2
-4.6833243,8.0424385,12,13,12,12
7.2271466,10.43189,4,4,4,4
7.4655833,9.250985,4,4,4,4
6.528379,12.051322,9,4,4,9
5.4513144,10.648326,9,4,4,9
14.136519,-2.4487996,1,1,1,1
7.8524675,12.724005,3,3,3,3
-4.446165,8.048663,12,13,12,12
14.612691,-3.5486465,1,1,1,1
11.403374,8.099726,4,6,6,6
21.043814,6.072028,8,8,14,8
-3.0326576,8.394462,13,13,12,13
9.653648,-1.9487891,2,2,2,2
13.648194,-6.2801237,1,1,1,1
13.94421,-4.030773,1,1,1,2
12.00972,-4.648332,1,1,1,1
8.959182,9.408951,6,4,4,6
7.2579975,9.853602,4,4,4,4
11.024248,-1.999996,2,1,2,2
11.8660755,-2.5527177,1,1,1,1
10.261698,-2.4329734,2,2,2,2
1.5953405,2.4148862,16,7,7,16
13.148451,-5.582358,1,1,1,1
5.8744063,10.864405,4,4,4,9
7.60967,-0.74238586,5,5,5,5
5.4715176,10.918553,9,4,4,9
10.136549,9.374853,6,3,3,6
6.7130375,10.507484,4,4,4,4
5.9234724,9.435857,4,4,4,4
13.386392,-3.3413646,1,1,1,1
9.758404,-1.7840774,2,2,2,2
6.3252425,11.084285,4,4,4,4
6.472355,-0.35597593,5,5,5,5
8.543448,10.517508,3,3,3,3
6.9853535,9.505846,4,4,4,4
6.939541,11.037904,9,4,4,9
8.788735,13.44425,3,3,3,3
5.824164,9.435148,4,4,4,4
8.918903,10.051928,3,3,3,3
3.19282,4.4271603,15,15,15,15
5.95669,10.987178,4,4,4,4
6.3899302,-0.61505604,5,5,5,5
5.81937,-1.9031881,5,5,5,5
7.444487,9.465229,6,4,4,6
5.990832,11.548206,9,4,4,4
14.196672,-5.401348,1,1,1,1
