UMAP1,UMAP2,GT,KMeans,DEC,scDCC
-0.1642802,4.261245,Mono,Mono,Mono,Mono
1.4992701,6.3311014,Mono,Mono,Mono,Mono
-0.48488668,3.5219576,Mono,Mono,Mono,Mono
13.7415695,7.8879056,CD4_T,CD4_T,CD4_T,CD4_T
17.856966,8.355046,CD4_T,CD4_T,CD4_T,CD4_T
14.785632,6.8718414,CD4_T,CD4_T,CD4_T,CD4_T
-10.038916,8.101285,Dendritic,B_cells,B_cells,Dendritic
1.923934,10.527559,Dendritic,Mono,Mono,Dendritic
12.938486,-8.392196,B_cells,B_cells,B_cells,B_cells
3.2315292,7.328321,Mono,Mono,Mono,Mono
12.007887,-8.304762,B_cells,B_cells,B_cells,B_cells
16.308071,11.24866,CD4_T,CD4_T,CD4_T,CD4_T
15.885365,9.336984,CD4_T,CD4_T,CD4_T,CD4_T
13.282692,8.127994,CD4_T,CD4_T,CD4_T,CD4_T
1.0831151,9.554656,Dendritic,Mono,Mono,Dendritic
14.901934,7.068857,CD4_T,CD4_T,CD4_T,CD4_T
17.806698,11.589413,CD4_T,CD4_T,CD4_T,CD4_T
-0.08578084,4.6239266,Mono,Mono,Mono,Mono
14.636063,3.481054,CD4_T,CD4_T,CD4_T,CD4_T
-0.07012611,6.61914,Mono,Mono,Mono,Mono
16.73699,10.23846,CD4_T,CD4_T,CD4_T,CD4_T
14.336972,5.6770787,CD4_T,CD4_T,CD4_T,CD4_T
16.723072,5.5442166,CD4_T,CD4_T,CD4_T,CD4_T
15.797197,7.810166,CD4_T,CD4_T,CD4_T,CD4_T
10.801487,-9.11046,B_cells,B_cells,B_cells,B_cells
17.094172,10.953331,CD4_T,CD4_T,CD4_T,CD4_T
0.4623051,5.590329,Mono,Mono,Mono,Mono
-0.8365325,2.6595664,Mono,Mono,Mono,Mono
-10.211848,7.575987,Dendritic,B_cells,B_cells,Dendritic
17.011024,12.05475,CD4_T,CD4_T,CD4_T,CD4_T
11.43344,2.1960826,NK,CD4_T,NK,NK
17.378841,9.197648,CD4_T,CD4_T,CD4_T,CD4_T
2.1091385,5.247307,Mono,Mono,Mono,Mono
14.246041,8.298406,CD4_T,CD4_T,CD4_T,CD4_T
15.285115,8.835048,CD4_T,CD4_T,CD4_T,CD4_T
12.296297,1.9840127,NK,CD4_T,NK,NK
1.1444117,9.518277,Dendritic,Mono,Mono,Dendritic
13.476374,8.99396,CD4_T,CD4_T,CD4_T,CD4_T
16.91707,7.7474217,CD4_T,CD4_T,CD4_T,CD4_T
18.366373,7.6398134,CD4_T,CD4_T,CD4_T,CD4_T
15.295974,5.0434504,CD4_T,CD4_T,CD4_T,CD4_T
1.7513167,5.1482387,Mono,Mono,Mono,Mono
-2.771803,7.832529,Mono,Mono,Mono,Mono
11.489542,-8.6057,B_cells,B_cells,B_cells,B_cells
11.109284,-7.919334,B_cells,B_cells,B_cells,B_cells
11.661421,-8.411288,B_cells,B_cells,B_cells,B_cells
-0.8336343,3.1996055,Mono,Mono,Mono,Mono
1.987982,6.8072443,Mono,Mono,Mono,Mono
0.9407813,3.666807,Mono,Mono,Mono,Mono
17.455696,8.048005,CD4_T,CD4_T,CD4_T,CD4_T
13.2208,7.908348,CD4_T,CD4_T,CD4_T,CD4_T
0.23949386,6.0280323,Mono,Mono,Mono,Mono
16.503376,9.676342,CD4_T,CD4_T,CD4_T,CD4_T
17.722227,9.185128,CD4_T,CD4_T,CD4_T,CD4_T
1.2788357,5.3533993,Mono,Mono,Mono,Mono
14.809584,7.053319,CD4_T,CD4_T,CD4_T,CD4_T
17.963663,9.055983,CD4_T,CD4_T,CD4_T,CD4_T
1.5560403,7.3782687,Mono,Mono,Mono,Mono
12.676896,-8.239248,B_cells,B_cells,B_cells,B_cells
-0.82790875,2.7892084,Mono,Mono,Mono,Mono
1.3756878,6.278209,Mono,Mono,Mono,Mono
-10.350985,7.7043257,Dendritic,B_cells,B_cells,Dendritic
15.793164,10.92852,CD4_T,CD4_T,CD4_T,CD4_T
15.934311,8.716228,CD4_T,CD4_T,CD4_T,CD4_T
18.644854,7.823625,CD4_T,CD4_T,CD4_T,CD4_T
-10.081317,7.9845424,Dendritic,B_cells,B_cells,Dendritic
18.093271,6.5680647,CD4_T,CD4_T,CD4_T,CD4_T
17.805994,11.430876,CD4_T,CD4_T,CD4_T,CD4_T
12.577149,4.8740997,CD4_T,CD4_T,CD4_T,CD4_T
1.1081123,9.933688,Dendritic,Mono,Mono,Dendritic
13.076362,7.51853,CD4_T,CD4_T,CD4_T,CD4_T
-0.11543374,6.820828,Mono,Mono,Mono,Mono
16.87522,5.731609,CD4_T,CD4_T,CD4_T,CD4_T
1.5676866,4.448795,Mono,Mono,Mono,Mono
